01.1,Produção de lavouras temporárias
20.71-1,"Fabricação de tintas, vernizes, esmaltes e lacas"
2071-1/00,"Fabricação de tintas, vernizes, esmaltes e lacas"
20.72-0,Fabricação de tintas de impressão
2072-0/00,Fabricação de tintas de impressão
20.73-8,"Fabricação de impermeabilizantes, solventes e produtos afins"
2073-8/00,"Fabricação de impermeabilizantes, solventes e produtos afins"
20.9,Fabricação de produtos e preparados químicos diversos
20.91-6,Fabricação de adesivos e selantes
2091-6/00,Fabricação de adesivos e selantes
20.92-4,Fabricação de explosivos
2092-4/01,"Fabricação de pólvoras, explosivos e detonantes"
2092-4/02,Fabricação de artigos pirotécnicos
2092-4/03,Fabricação de fósforos de segurança
20.93-2,Fabricação de aditivos de uso industrial
2093-2/00,Fabricação de aditivos de uso industrial
20.94-1,Fabricação de catalisadores
2094-1/00,Fabricação de catalisadores
20.99-1,Fabricação de produtos químicos não especificados anteriormente
2099-1/01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia"
2099-1/99,Fabricação de outros produtos químicos não especificados anteriormente
21.0,FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS
21.1,Fabricação de produtos farmoquímicos
21.10-6,Fabricação de produtos farmoquímicos
2110-6/00,Fabricação de produtos farmoquímicos
21.2,Fabricação de produtos farmacêuticos
21.21-1,Fabricação de medicamentos para uso humano
2121-1/01,Fabricação de medicamentos alopáticos para uso humano
2121-1/02,Fabricação de medicamentos homeopáticos para uso humano
2121-1/03,Fabricação de medicamentos fitoterápicos para uso humano
21.22-0,Fabricação de medicamentos para uso veterinário
2122-0/00,Fabricação de medicamentos para uso veterinário
21.23-8,Fabricação de preparações farmacêuticas
2123-8/00,Fabricação de preparações farmacêuticas
22.1,Fabricação de produtos de borracha
22.11-1,Fabricação de pneumáticos e de câmaras-de-ar
2211-1/00,Fabricação de pneumáticos e de câmaras-de-ar
22.12-9,Reforma de pneumáticos usados
2212-9/00,Reforma de pneumáticos usados
22.19-6,Fabricação de artefatos de borracha não especificados anteriormente
2219-6/00,Fabricação de artefatos de borracha não especificados anteriormente
22.2,Fabricação de produtos de material plástico
22.21-8,Fabricação de laminados planos e tubulares de material plástico
2221-8/00,Fabricação de laminados planos e tubulares de material plástico
22.22-6,Fabricação de embalagens de material plástico
2222-6/00,Fabricação de embalagens de material plástico
22.23-4,Fabricação de tubos e acessórios de material plástico para uso na construção
2223-4/00,Fabricação de tubos e acessórios de material plástico para uso na construção
22.29-3,Fabricação de artefatos de material plástico não especificados anteriormente
2229-3/01,Fabricação de artefatos de material plástico para uso pessoal e doméstico
2229-3/02,Fabricação de artefatos de material plástico para usos industriais
2229-3/03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios"
2229-3/99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
23.0,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS
23.1,Fabricação de vidro e de produtos do vidro
23.11-7,Fabricação de vidro plano e de segurança
2311-7/00,Fabricação de vidro plano e de segurança
23.12-5,Fabricação de embalagens de vidro
2312-5/00,Fabricação de embalagens de vidro
23.19-2,Fabricação de artigos de vidro
2319-2/00,Fabricação de artigos de vidro
23.2,Fabricação de cimento
23.20-6,Fabricação de cimento
2320-6/00,Fabricação de cimento
23.3,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes"
23.30-3,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes"
2330-3/01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda"
2330-3/02,Fabricação de artefatos de cimento para uso na construção
2330-3/03,Fabricação de artefatos de fibrocimento para uso na construção
2330-3/04,Fabricação de casas pré-moldadas de concreto
2330-3/05,Preparação de massa de concreto e argamassa para construção
2330-3/99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes"
23.4,Fabricação de produtos cerâmicos
23.41-9,Fabricação de produtos cerâmicos refratários
2341-9/00,Fabricação de produtos cerâmicos refratários
23.42-7,Fabricação de produtos cerâmicos não-refratários para uso estrutural na construção
2342-7/01,Fabricação de azulejos e pisos
2342-7/02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"
23.49-4,Fabricação de produtos cerâmicos não-refratários não especificados anteriormente
2349-4/01,Fabricação de material sanitário de cerâmica
2349-4/99,Fabricação de produtos cerâmicos não-refratários não especificados anteriormente
23.9,Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos
23.91-5,Aparelhamento e outros trabalhos em pedras
2391-5/01,"Britamento de pedras, exceto associado à extração"
2391-5/02,"Aparelhamento de pedras para construção, exceto associado à extração"
2391-5/03,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras"
23.92-3,Fabricação de cal e gesso
2392-3/00,Fabricação de cal e gesso
23.99-1,Fabricação de produtos de minerais não-metálicos não especificados anteriormente
2399-1/01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal"
2399-1/02,Fabricação de abrasivos
2399-1/99,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente
24.1,Produção de ferro-gusa e de ferroligas
24.11-3,Produção de ferro-gusa
2411-3/00,Produção de ferro-gusa
24.12-1,Produção de ferroligas
2412-1/00,Produção de ferroligas
24.2,Siderurgia
24.21-1,Produção de semi-acabados de aço
2421-1/00,Produção de semi-acabados de aço
24.22-9,Produção de laminados planos de aço
2422-9/01,"Produção de laminados planos de aço ao carbono, revestidos ou não"
2422-9/02,Produção de laminados planos de aços especiais
24.23-7,Produção de laminados longos de aço
2423-7/01,Produção de tubos de aço sem costura
2423-7/02,"Produção de laminados longos de aço, exceto tubos"
24.24-5,"Produção de relaminados, trefilados e perfilados de aço"
2424-5/01,Produção de arames de aço
2424-5/02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames"
24.3,"Produção de tubos de aço, exceto tubos sem costura"
24.31-8,Produção de tubos de aço com costura
2431-8/00,Produção de tubos de aço com costura
24.39-3,Produção de outros tubos de ferro e aço
2439-3/00,Produção de outros tubos de ferro e aço
24.4,Metalurgia dos metais não-ferrosos
24.41-5,Metalurgia do alumínio e suas ligas
2441-5/01,Produção de alumínio e suas ligas em formas primárias
2441-5/02,Produção de laminados de alumínio
24.42-3,Metalurgia dos metais preciosos
2442-3/00,Metalurgia dos metais preciosos
24.43-1,Metalurgia do cobre
2443-1/00,Metalurgia do cobre
24.49-1,Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente
2449-1/01,Produção de zinco em formas primárias
2449-1/02,Produção de laminados de zinco
2449-1/03,Produção de ânodos para galvanoplastia
2449-1/99,Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente
24.5,Fundição
24.51-2,Fundição de ferro e aço
2451-2/00,Fundição de ferro e aço
24.52-1,Fundição de metais não-ferrosos e suas ligas
2452-1/00,Fundição de metais não-ferrosos e suas ligas
25.1,Fabricação de estruturas metálicas e obras de caldeiraria pesada
25.11-0,Fabricação de estruturas metálicas
2511-0/00,Fabricação de estruturas metálicas
25.12-8,Fabricação de esquadrias de metal
2512-8/00,Fabricação de esquadrias de metal
25.13-6,Fabricação de obras de caldeiraria pesada
2513-6/00,Fabricação de obras de caldeiraria pesada
25.2,"Fabricação de tanques, reservatórios metálicos e caldeiras"
25.21-7,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central"
2521-7/00,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central"
25.22-5,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos"
2522-5/00,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos"
25.3,"Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais"
25.31-4,Produção de forjados de aço e de metais não-ferrosos e suas ligas
2531-4/01,Produção de forjados de aço
2531-4/02,Produção de forjados de metais não-ferrosos e suas ligas
25.32-2,Produção de artefatos estampados de metal; metalurgia do pó
2532-2/01,Produção de artefatos estampados de metal
2532-2/02,Metalurgia do pó
25.39-0,"Serviços de usinagem, solda, tratamento e revestimento em metais"
25.4,"Fabricação de artigos de cutelaria, de serralheria e ferramentas"
25.41-1,Fabricação de artigos de cutelaria
2541-1/00,Fabricação de artigos de cutelaria
25.42-0,"Fabricação de artigos de serralheria, exceto esquadrias"
2542-0/00,"Fabricação de artigos de serralheria, exceto esquadrias"
25.43-8,Fabricação de ferramentas
2543-8/00,Fabricação de ferramentas
25.5,"Fabricação de equipamento bélico pesado, armas e munições"
25.50-1,"Fabricação de equipamento bélico pesado, armas de fogo e munições"
2550-1/01,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate"
2550-1/02,"Fabricação de armas de fogo, outras armas e munições"
25.9,Fabricação de produtos de metal não especificados anteriormente
25.91-8,Fabricação de embalagens metálicas
2591-8/00,Fabricação de embalagens metálicas
25.92-6,Fabricação de produtos de trefilados de metal
2592-6/01,Fabricação de produtos de trefilados de metal padronizados
2592-6/02,"Fabricação de produtos de trefilados de metal, exceto padronizados"
25.93-4,Fabricação de artigos de metal para uso doméstico e pessoal
2593-4/00,Fabricação de artigos de metal para uso doméstico e pessoal
25.99-3,Fabricação de produtos de metal não especificados anteriormente
2599-3/01,Serviços de confecção de armações metálicas para a construção
2599-3/02,Serviço de corte e dobra de metais
2599-3/99,Fabricação de outros produtos de metal não especificados anteriormente
26.1,Fabricação de componentes eletrônicos
26.10-8,Fabricação de componentes eletrônicos
2610-8/00,Fabricação de componentes eletrônicos
26.2,Fabricação de equipamentos de informática e periféricos
26.21-3,Fabricação de equipamentos de informática
2621-3/00,Fabricação de equipamentos de informática
26.22-1,Fabricação de periféricos para equipamentos de informática
2622-1/00,Fabricação de periféricos para equipamentos de informática
26.3,Fabricação de equipamentos de comunicação
26.31-1,Fabricação de equipamentos transmissores de comunicação
2631-1/00,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios"
26.32-9,Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação
2632-9/00,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios"
26.4,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo"
26.40-0,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo"
2640-0/00,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo"
26.5,"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios"
26.51-5,"Fabricação de aparelhos e equipamentos de medida, teste e controle"
2651-5/00,"Fabricação de aparelhos e equipamentos de medida, teste e controle"
26.52-3,Fabricação de cronômetros e relógios
2652-3/00,Fabricação de cronômetros e relógios
26.6,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
26.60-4,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
2660-4/00,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
26.7,"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos"
26.70-1,"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos"
2670-1/01,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios"
2670-1/02,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios"
26.8,"Fabricação de mídias virgens, magnéticas e ópticas"
26.80-9,"Fabricação de mídias virgens, magnéticas e ópticas"
2680-9/00,"Fabricação de mídias virgens, magnéticas e ópticas"
27.1,"Fabricação de geradores, transformadores e motores elétricos"
27.10-4,"Fabricação de geradores, transformadores e motores elétricos"
2710-4/01,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios"
2710-4/02,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"
2710-4/03,"Fabricação de motores elétricos, peças e acessórios"
27.2,"Fabricação de pilhas, baterias e acumuladores elétricos"
27.21-0,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores"
2721-0/00,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores"
27.22-8,Fabricação de baterias e acumuladores para veículos automotores
2722-8/01,Fabricação de baterias e acumuladores para veículos automotores
2722-8/02,Recondicionamento de baterias e acumuladores para veículos automotores
27.3,Fabricação de equipamentos para distribuição e controle de energia elétrica
27.31-7,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica
2731-7/00,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica
27.32-5,Fabricação de material elétrico para instalações em circuito de consumo
2732-5/00,Fabricação de material elétrico para instalações em circuito de consumo
27.33-3,"Fabricação de fios, cabos e condutores elétricos isolados"
2733-3/00,"Fabricação de fios, cabos e condutores elétricos isolados"
27.4,Fabricação de lâmpadas e outros equipamentos de iluminação
27.40-6,Fabricação de lâmpadas e outros equipamentos de iluminação
2740-6/01,Fabricação de lâmpadas
2740-6/02,Fabricação de luminárias e outros equipamentos de iluminação
27.5,Fabricação de eletrodomésticos
27.51-1,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico"
2751-1/00,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios"
27.59-7,Fabricação de aparelhos eletrodomésticos não especificados anteriormente
2759-7/01,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios"
2759-7/99,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios"
27.9,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente
27.90-2,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente
2790-2/01,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores"
2790-2/02,Fabricação de equipamentos para sinalização e alarme
2790-2/99,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente
28.1,"Fabricação de motores, bombas, compressores e equipamentos de transmissão"
28.11-9,"Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários"
2811-9/00,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários"
28.12-7,"Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas"
2812-7/00,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas"
28.13-5,"Fabricação de válvulas, registros e dispositivos semelhantes"
2813-5/00,"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios"
28.14-3,Fabricação de compressores
2814-3/01,"Fabricação de compressores para uso industrial, peças e acessórios"
2814-3/02,"Fabricação de compressores para uso não-industrial, peças e acessórios"
28.15-1,Fabricação de equipamentos de transmissão para fins industriais
2815-1/01,Fabricação de rolamentos para fins industriais
2815-1/02,"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos"
28.2,Fabricação de máquinas e equipamentos de uso geral
28.21-6,Fabricação de aparelhos e equipamentos para instalações térmicas
2821-6/01,"Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios"
2821-6/02,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios"
28.22-4,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas"
2822-4/01,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios"
2822-4/02,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios"
28.23-2,Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial
2823-2/00,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios"
28.24-1,Fabricação de aparelhos e equipamentos de ar condicionado
2824-1/01,Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial
2824-1/02,Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial
28.25-9,Fabricação de máquinas e equipamentos para saneamento básico e ambiental
2825-9/00,"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios"
28.29-1,Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente
2829-1/01,"Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios"
2829-1/99,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios"
28.3,Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária
28.31-3,Fabricação de tratores agrícolas
2831-3/00,"Fabricação de tratores agrícolas, peças e acessórios"
28.32-1,Fabricação de equipamentos para irrigação agrícola
2832-1/00,"Fabricação de equipamentos para irrigação agrícola, peças e acessórios"
28.33-0,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação"
2833-0/00,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação"
28.4,Fabricação de máquinas-ferramenta
28.40-2,Fabricação de máquinas-ferramenta
2840-2/00,"Fabricação de máquinas-ferramenta, peças e acessórios"
28.5,Fabricação de máquinas e equipamentos de uso na extração mineral e na construção
28.51-8,Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo
2851-8/00,"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios"
28.52-6,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo"
2852-6/00,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo"
28.53-4,"Fabricação de tratores, exceto agrícolas"
2853-4/00,"Fabricação de tratores, peças e acessórios, exceto agrícolas"
28.54-2,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores"
2854-2/00,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores"
28.6,Fabricação de máquinas e equipamentos de uso industrial específico
28.61-5,"Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta"
2861-5/00,"Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta"
28.62-3,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo"
2862-3/00,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios"
28.63-1,Fabricação de máquinas e equipamentos para a indústria têxtil
2863-1/00,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios"
28.64-0,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados"
2864-0/00,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios"
28.65-8,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos"
2865-8/00,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios"
28.66-6,Fabricação de máquinas e equipamentos para a indústria do plástico
2866-6/00,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios"
28.69-1,Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente
2869-1/00,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios"
29.1,"Fabricação de automóveis, camionetas e utilitários"
29.10-7,"Fabricação de automóveis, camionetas e utilitários"
2910-7/01,"Fabricação de automóveis, camionetas e utilitários"
2910-7/02,"Fabricação de chassis com motor para automóveis, camionetas e utilitários"
2910-7/03,"Fabricação de motores para automóveis, camionetas e utilitários"
29.2,Fabricação de caminhões e ônibus
29.20-4,Fabricação de caminhões e ônibus
2920-4/01,Fabricação de caminhões e ônibus
2920-4/02,Fabricação de motores para caminhões e ônibus
29.3,"Fabricação de cabines, carrocerias e reboques para veículos automotores"
29.30-1,"Fabricação de cabines, carrocerias e reboques para veículos automotores"
2930-1/01,"Fabricação de cabines, carrocerias e reboques para caminhões"
2930-1/02,Fabricação de carrocerias para ônibus
2930-1/03,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus"
29.4,Fabricação de peças e acessórios para veículos automotores
29.41-7,Fabricação de peças e acessórios para o sistema motor de veículos automotores
2941-7/00,Fabricação de peças e acessórios para o sistema motor de veículos automotores
29.42-5,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores
2942-5/00,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores
29.43-3,Fabricação de peças e acessórios para o sistema de freios de veículos automotores
2943-3/00,Fabricação de peças e acessórios para o sistema de freios de veículos automotores
29.44-1,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores
2944-1/00,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores
29.45-0,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"
2945-0/00,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"
29.49-2,Fabricação de peças e acessórios para veículos automotores não especificados anteriormente
2949-2/01,Fabricação de bancos e estofados para veículos automotores
2949-2/99,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
29.5,Recondicionamento e recuperação de motores para veículos automotores
29.50-6,Recondicionamento e recuperação de motores para veículos automotores
2950-6/00,Recondicionamento e recuperação de motores para veículos automotores
30.1,Construção de embarcações
30.11-3,Construção de embarcações e estruturas flutuantes
3011-3/01,Construção de embarcações de grande porte
3011-3/02,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte"
30.12-1,Construção de embarcações para esporte e lazer
3012-1/00,Construção de embarcações para esporte e lazer
30.3,Fabricação de veículos ferroviários
30.31-8,"Fabricação de locomotivas, vagões e outros materiais rodantes"
3031-8/00,"Fabricação de locomotivas, vagões e outros materiais rodantes"
30.32-6,Fabricação de peças e acessórios para veículos ferroviários
3032-6/00,Fabricação de peças e acessórios para veículos ferroviários
30.4,Fabricação de aeronaves
30.41-5,Fabricação de aeronaves
3041-5/00,Fabricação de aeronaves
30.42-3,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves"
3042-3/00,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves"
30.5,Fabricação de veículos militares de combate
30.50-4,Fabricação de veículos militares de combate
3050-4/00,Fabricação de veículos militares de combate
30.9,Fabricação de equipamentos de transporte não especificados anteriormente
30.91-1,Fabricação de motocicletas
3091-1/01,Fabricação de motocicletas
3091-1/02,Fabricação de peças e acessórios para motocicletas
30.92-0,Fabricação de bicicletas e triciclos não-motorizados
3092-0/00,"Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios"
30.99-7,Fabricação de equipamentos de transporte não especificados anteriormente
3099-7/00,Fabricação de equipamentos de transporte não especificados anteriormente
31.0,Fabricação de móveis
31.01-2,Fabricação de móveis com predominância de madeira
3101-2/00,Fabricação de móveis com predominância de madeira
31.02-1,Fabricação de móveis com predominância de metal
3102-1/00,Fabricação de móveis com predominância de metal
31.03-9,"Fabricação de móveis de outros materiais, exceto madeira e metal"
3103-9/00,"Fabricação de móveis de outros materiais, exceto madeira e metal"
31.04-7,Fabricação de colchões
3104-7/00,Fabricação de colchões
32.1,"Fabricação de artigos de joalheria, bijuteria e semelhantes"
32.11-6,Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria
3211-6/01,Lapidação de gemas
3211-6/02,Fabricação de artefatos de joalheria e ourivesaria
3211-6/03,Cunhagem de moedas e medalhas
32.12-4,Fabricação de bijuterias e artefatos semelhantes
3212-4/00,Fabricação de bijuterias e artefatos semelhantes
32.2,Fabricação de instrumentos musicais
32.20-5,Fabricação de instrumentos musicais
3220-5/00,"Fabricação de instrumentos musicais, peças e acessórios"
32.3,Fabricação de artefatos para pesca e esporte
32.30-2,Fabricação de artefatos para pesca e esporte
3230-2/00,Fabricação de artefatos para pesca e esporte
32.4,Fabricação de brinquedos e jogos recreativos
32.40-0,Fabricação de brinquedos e jogos recreativos
3240-0/01,Fabricação de jogos eletrônicos
3240-0/02,"Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação"
3240-0/03,"Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação"
3240-0/99,Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente
32.5,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos
32.50-7,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos
3250-7/01,"Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório"
3250-7/02,"Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório"
3250-7/03,Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda
3250-7/04,"Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda"
3250-7/05,Fabricação de materiais para medicina e odontologia
3250-7/06,Serviços de prótese dentária
3250-7/07,Fabricação de artigos ópticos
3250-7/09,Serviço de laboratório óptico
32.9,Fabricação de produtos diversos
32.91-4,"Fabricação de escovas, pincéis e vassouras"
3291-4/00,"Fabricação de escovas, pincéis e vassouras"
32.92-2,Fabricação de equipamentos e acessórios para segurança e proteção pessoal e profissional
3292-2/01,Fabricação de roupas de proteção e segurança e resistentes a fogo
3292-2/02,Fabricação de equipamentos e acessórios para segurança pessoal e profissional
32.99-0,Fabricação de produtos diversos não especificados anteriormente
3299-0/01,Fabricação de guarda-chuvas e similares
3299-0/02,"Fabricação de canetas, lápis e outros artigos para escritório"
3299-0/03,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos"
3299-0/04,Fabricação de painéis e letreiros luminosos
3299-0/05,Fabricação de aviamentos para costura
3299-0/06,"Fabricação de velas, inclusive decorativas"
3299-0/99,Fabricação de produtos diversos não especificados anteriormente
33.0,"MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS"
33.1,Manutenção e reparação de máquinas e equipamentos
33.11-2,"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos"
3311-2/00,"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos"
33.12-1,Manutenção e reparação de equipamentos eletrônicos e ópticos
3312-1/02,"Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle"
3312-1/03,Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
3312-1/04,Manutenção e reparação de equipamentos e instrumentos ópticos
33.13-9,Manutenção e reparação de máquinas e equipamentos elétricos
3313-9/01,"Manutenção e reparação de geradores, transformadores e motores elétricos"
3313-9/02,"Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos"
3313-9/99,"Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente"
33.14-7,Manutenção e reparação de máquinas e equipamentos da indústria mecânica
3314-7/01,Manutenção e reparação de máquinas motrizes não-elétricas
3314-7/02,"Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas"
3314-7/03,Manutenção e reparação de válvulas industriais
3314-7/04,Manutenção e reparação de compressores
3314-7/05,Manutenção e reparação de equipamentos de transmissão para fins industriais
3314-7/06,"Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas"
3314-7/07,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial
3314-7/08,"Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas"
3314-7/09,"Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório"
3314-7/10,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente
3314-7/11,Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária
3314-7/12,Manutenção e reparação de tratores agrícolas
3314-7/13,Manutenção e reparação de máquinas-ferramenta
3314-7/14,Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo
3314-7/15,"Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo"
3314-7/16,"Manutenção e reparação de tratores, exceto agrícolas"
